legid,ACT,CP,GT,WYR
#222:38969,0,1,1,0
#222:38970,0,1,2,0
#222:38978,0,-2,-1,0
#222:38980,0,-1,0,0
#222:38981,0,0,0,0
#222:38982,0,-2,4,0
#222:38994,1,3,10,-2
#222:39012,0,4,2,0
#222:39022,1,11,6,0
#222:39033,0,-2,4,0
#222:39037,1,11,7,0
#222:39042,0,3,0,0
#222:39050,0,0,-1,-1
#222:39056,1,1,0,0
#222:39057,1,2,0,0
#222:39062,0,0,-2,0
#222:39065,1,2,0,0
#222:39070,1,2,1,0
#222:39071,1,1,0,0
#222:39072,1,1,1,0
#222:39074,1,1,0,0
#222:39082,1,1,1,0
#222:39088,0,1,0,0
#222:39089,1,2,1,0
#222:39090,0,0,1,0
#222:39092,1,2,1,0
#222:39093,0,-1,-1,0
#222:39095,1,1,0,0
#222:39101,1,1,0,0
#222:39102,1,1,0,0
#222:39104,1,1,0,0
#222:39105,1,1,0,0
#222:39110,1,1,0,0
#222:39111,1,1,1,0
#222:39114,1,0,0,0
#222:39154,1,6,4,1
#222:39158,0,1,0,0
#222:39168,0,0,-1,0
#222:39182,1,1,0,0
#222:39186,0,-2,5,0
#222:39229,0,1,0,0
#222:39272,0,0,1,0
#222:39273,0,-1,-2,0
#222:39280,0,0,2,0
#222:39282,-1,-1,-12,0
#222:39283,0,0,1,0
#222:39284,1,0,0,0
#222:39311,0,0,1,0
#222:39317,0,0,0,0
#222:39322,0,0,0,0
#222:39333,0,3,1,2
#222:39365,0,0,-1,0
#222:39367,0,-3,2,-3
#222:39369,1,9,10,3
#222:39378,1,2,2,0
#222:39387,0,1,0,0
#222:39389,0,4,1,0
#222:39392,0,0,0,0
#222:39401,0,0,0,2
#222:39403,0,0,0,0
#222:39407,1,0,0,0
#222:39411,0,1,1,0
#222:39421,0,0,0,0
#222:39432,0,2,0,2
#222:39435,0,0,2,0
#222:39436,0,3,0,0
#222:39444,1,0,1,0
#222:39452,1,4,4,0
#222:39457,0,0,1,0
#222:39459,0,-2,0,0
#222:39461,0,4,0,0
#222:39469,0,3,7,0
#222:39470,0,0,-1,0
#222:39471,0,0,1,0
#222:39479,1,3,3,0
#222:39489,0,1,-2,0
#222:39495,0,0,0,-1
#222:39516,0,0,-3,0
#222:39523,1,1,2,0
#222:39525,-1,-1,2,0
#222:39532,1,2,3,0
#222:39542,-1,-8,3,-7
#222:39561,0,0,0,1
#222:39562,-1,1,0,0
#222:39565,0,2,2,0
#222:39569,1,7,-3,0
#222:39572,1,0,0,0
#222:39575,0,0,1,0
#222:39628,1,7,1,2
#222:39630,0,0,1,-1
#222:39651,0,2,-1,0
#222:39680,0,-3,-1,0
#222:39716,0,0,1,0
#222:39720,1,2,2,0
#222:39722,0,0,0,0
#222:39723,1,9,3,2
#222:39726,0,0,1,0
#222:39731,0,5,2,0
#222:39765,0,0,4,0
#222:39766,0,0,0,0
#222:39776,-1,0,0,0
#222:39778,1,7,4,2
#222:39781,0,0,5,0
#222:39784,0,0,1,0
#222:39791,0,0,1,0
#222:39792,0,0,0,0
#222:39793,0,0,1,0
#222:39799,1,-1,3,0
#222:39800,1,-5,3,0
#222:39816,0,2,1,0
#222:39818,0,3,0,0
#222:39819,0,4,6,0
#222:39822,0,1,-2,0
#222:39825,-1,-9,3,0
#222:39834,0,2,0,0
#222:39835,-1,4,3,0
#222:39851,1,2,5,0
